CIS20CD,date,sars_cov2_gc_l_mean,suspended_solids_mg_l,ammonia_mg_l,ophosph_mg_l,sample_ph_pre_ansis,control_gc_l_mean,raw_ansis_sars_repc_std,grab_compo_boo,sars_below_lod,sars_below_loq,reception_delay,catchment_population_ons_mid_2019,catchment_area,catch_in_cis_prop,catch_cis_population,median_prob,ll,ul
J06000164,2020-09-04,3.940263182914693,2.4638929889859074,55.0,0.7403626894942439,7.800000190734862,10859800.0,0.7113976536536974,0.0,0.0,0.0,1.3704514044224498,864311.0,323.3958603280103,1.967675605365612,322466.6135585272,0.049110476086017936,0.03004555383338969,0.07973903928024163
J06000164,2020-09-06,3.774327017330116,2.3242824552976926,44.0,0.6812412330612592,7.800000190734862,10859800.0,0.9338958607458199,0.0,0.0,0.0,1.3850101245933748,864311.0,323.3958603280103,1.967675605365612,322466.6135585272,0.05575986379887549,0.035036568871497704,0.08863838505908476
J06000164,2020-09-07,3.6580256821693387,2.545307116465824,65.0,0.7923916761377539,7.800000190734862,10859800.0,1.1780615165979031,0.0,0.0,0.0,1.379003189522638,864311.0,323.3958603280103,1.967675605365612,322466.6135585272,0.05904676554122705,0.037510730669489935,0.09302059383584702
J06000164,2020-09-09,4.330115759568721,2.569373909615046,75.0,0.8061799804553792,7.800000190734862,10859800.0,0.5277098871386688,0.0,1.0,0.0,1.373218599863817,864311.0,323.3958603280103,1.967675605365612,322466.6135585272,0.0655468679366752,0.0424171659187166,0.10165454662776721
J06000164,2020-09-11,4.0099831841312295,2.519827993775719,62.0,0.7923916761377539,7.800000190734862,10859800.0,0.7527531909137474,0.0,0.0,0.0,1.381716596708923,864311.0,323.3958603280103,1.967675605365612,322466.6135585272,0.07199514330584403,0.04751620153140633,0.10973419221979155
J06000164,2020-09-13,4.206908689239881,2.44870631990508,45.0,0.662757822677759,7.800000190734862,10859800.0,1.1611803544853883,0.0,0.0,0.0,1.3879827199214656,864311.0,323.3958603280103,1.967675605365612,322466.6135585272,0.07839245921575123,0.052800482728125,0.11728691548718576
J06000164,2020-09-14,4.8360096498173455,2.663700925389648,69.0,0.8388490967397987,7.800000190734862,10859800.0,1.5723731716998595,0.0,1.0,0.0,1.379305517750582,864311.0,323.3958603280103,1.967675605365612,322466.6135585272,0.08155612267416011,0.05541870608848377,0.12101458601043982
J06000164,2020-09-16,5.137694691802662,2.603144372620182,58.0,0.7781512503836436,7.800000190734862,10859800.0,2.059534228922605,0.0,1.0,0.0,1.3397825846559979,864311.0,323.3958603280103,1.967675605365612,322466.6135585272,0.08781513973570011,0.06060827005293776,0.1283752918492324
J06000164,2020-09-18,3.841485128635499,2.5327543789924976,77.0,0.8195439292664823,7.800000190734862,10859800.0,1.0291099794571716,0.0,0.0,0.0,1.3695250738574551,864311.0,323.3958603280103,1.967675605365612,322466.6135585272,0.09199450950922947,0.06415267369564945,0.13269678872565632
J06000164,2020-09-20,3.488485768209699,2.2068258760318495,45.0,0.6901960884810746,7.800000190734862,10859800.0,1.0758084257929499,0.0,0.0,0.0,1.3808140099997666,864311.0,323.3958603280103,1.967675605365612,322466.6135585272,0.09415316773982939,0.06609154736657588,0.13406834163264564
J06000164,2020-09-21,4.042063580410966,2.5921767573958667,71.0,0.8129133566428556,7.800000190734862,10859800.0,0.7557153179445323,0.0,0.0,0.0,1.3823172807353938,864311.0,323.3958603280103,1.967675605365612,322466.6135585272,0.0952284865432026,0.06705774785236511,0.13475249717674817
J06000164,2020-09-23,3.738226745330444,2.44870631990508,60.0,0.7923916761377539,7.800000190734862,10859800.0,0.39229689351511393,0.0,0.0,0.0,1.3698340703001617,864311.0,323.3958603280103,1.967675605365612,322466.6135585272,0.09737116945150212,0.06898372394805388,0.13611758342469005
J06000164,2020-09-25,4.204144951750262,2.545307116465824,48.0,0.7558748411400177,7.800000190734862,10859800.0,0.3163558737146731,0.0,0.0,0.0,1.3864989655506532,864311.0,323.3958603280103,1.967675605365612,322466.6135585272,0.1041914603645425,0.0745460685131033,0.14387046703865347
J06000164,2020-09-27,3.646461978389895,2.1789769472931693,46.0,0.6334684507635924,7.800000190734862,10859800.0,1.1564316459222106,0.0,0.0,0.0,1.3853083013863465,864311.0,323.3958603280103,1.967675605365612,322466.6135585272,0.11547357046568538,0.0836073733263243,0.1576779881381432
J06000164,2020-09-28,4.005983588678446,2.4927603890268375,61.0,0.7923916761377539,7.800000190734862,10859800.0,1.2799616169317158,0.0,0.0,0.0,1.3993852495462185,864311.0,323.3958603280103,1.967675605365612,322466.6135585272,0.12100658803016402,0.08806810085570362,0.1644205448821019
J06000164,2020-09-30,3.153816203655216,2.303196057420489,48.0,0.6812412330612592,7.800000190734862,10859800.0,0.6351677924192982,0.0,0.0,0.0,1.3873898263387294,864311.0,323.3958603280103,1.967675605365612,322466.6135585272,0.1318655343630354,0.09685441393548849,0.1775995170114483
J06000164,2020-10-02,3.664157047480269,2.5809249756756194,32.0,0.6232492953285611,7.800000190734862,10859800.0,1.0659408238795183,0.0,0.0,0.0,1.3835161620540923,864311.0,323.3958603280103,1.967675605365612,322466.6135585272,0.14355549295355116,0.10634940969760538,0.19170201757018435
J06000164,2020-10-04,3.3580867487226493,1.8573324964312685,11.0,0.32221929966457985,7.800000190734862,10859800.0,1.0625534464197888,0.0,0.0,0.0,1.3876863743064847,864311.0,323.3958603280103,1.967675605365612,322466.6135585272,0.15600393217914849,0.11650374651615829,0.20662826727371206
