Unnamed: 0,CIS20CD,date,sars_cov2_gc_l_mean,suspended_solids_mg_l,ammonia_mg_l,ophosph_mg_l,sample_ph_pre_ansis,control_gc_l_mean,reac_vol_control,raw_ansis_sars_repc_std,grab_compo_boo,sars_below_lod,sars_below_loq,reception_delay,catchment_population_ons_mid_2019,catchment_area,catch_in_cis_prop,catch_cis_population,median_prob,ll,ul
3616,J06000164,2020-09-04,8713.915547688805,290.0,55.0,4.5,7.800000190734862,10859800.0,2.0,4.145145416259766,0.0,0.0,0.0,22.466666666666665,864311.0,323.3958603280103,1.967675605365612,322466.6135585272,0.1197226829572651,0.071631704482824,0.2015422298409517
3617,J06000164,2020-09-06,5946.398203531902,210.0,44.0,3.7999999523162846,7.800000190734862,10859800.0,2.0,7.588075637817382,0.0,0.0,0.0,23.266666666666666,864311.0,323.3958603280103,1.967675605365612,322466.6135585272,0.1369984268504694,0.0840181876950533,0.2264176302750551
3618,J06000164,2020-09-07,4549.14966837567,350.0,65.0,5.199999809265137,7.800000190734862,10859800.0,2.0,14.068204879760742,0.0,0.0,0.0,22.933333333333337,864311.0,323.3958603280103,1.967675605365612,322466.6135585272,0.1456362987970715,0.090211429301168,0.2388553304921068
3619,J06000164,2020-09-09,21384.320312499996,370.0,75.0,5.400000095367432,7.800000190734862,10859800.0,2.0,2.3706207275390625,0.0,1.0,0.0,22.616666666666667,864311.0,323.3958603280103,1.967675605365612,322466.6135585272,0.1629120426902758,0.1025979125133973,0.2637307309262103
3620,J06000164,2020-09-11,10231.533711751325,330.0,62.0,5.199999809265137,7.800000190734862,10859800.0,2.0,4.659175872802734,0.0,0.0,0.0,23.083333333333332,864311.0,323.3958603280103,1.967675605365612,322466.6135585272,0.1803074362570344,0.1156197692215438,0.287461326194001
3621,J06000164,2020-09-13,16102.070312500004,280.0,45.0,3.5999999046325684,7.800000190734862,10859800.0,2.0,13.49373626708985,0.0,0.0,0.0,23.433333333333337,864311.0,323.3958603280103,1.967675605365612,322466.6135585272,0.1978224794973472,0.1292769994256075,0.310047116295479
3622,J06000164,2020-09-14,68549.34578450529,460.0,69.0,5.900000095367432,7.800000190734862,10859800.0,2.0,36.35710144042969,0.0,1.0,0.0,22.95,864311.0,323.3958603280103,1.967675605365612,322466.6135585272,0.2065800011175037,0.1361056145276394,0.321340011346218
3623,J06000164,2020-09-16,137306.6365559896,400.0,58.0,5.0,7.800000190734862,10859800.0,2.0,113.69229125976562,0.0,1.0,0.0,20.866666666666667,864311.0,323.3958603280103,1.967675605365612,322466.6135585272,0.2240950443578165,0.1497628447317031,0.343925801447696
3624,J06000164,2020-09-18,6941.00830078125,340.0,77.0,5.599999904632568,7.800000190734862,10859800.0,2.0,9.693256378173828,0.0,0.0,0.0,22.416666666666668,864311.0,323.3958603280103,1.967675605365612,322466.6135585272,0.2359318082976021,0.1591847891967697,0.357365444185508
3625,J06000164,2020-09-20,3078.539423624674,160.0,45.0,3.900000095367432,7.800000190734862,10859800.0,2.0,10.907166481018066,0.0,0.0,0.0,23.033333333333335,864311.0,323.3958603280103,1.967675605365612,322466.6135585272,0.2420902929368604,0.1643714479228391,0.361658939559654
3626,J06000164,2020-09-21,11016.005859375,390.0,71.0,5.5,7.800000190734862,10859800.0,2.0,4.697906494140625,0.0,0.0,0.0,23.116666666666667,864311.0,323.3958603280103,1.967675605365612,322466.6135585272,0.2451695352564895,0.1669647772858738,0.363805687246727
3627,J06000164,2020-09-23,5472.016347249363,280.0,60.0,5.199999809265137,7.800000190734862,10859800.0,2.0,1.4677257537841797,0.0,0.0,0.0,22.433333333333337,864311.0,323.3958603280103,1.967675605365612,322466.6135585272,0.2513280198957479,0.1721514360119432,0.368099182620873
3628,J06000164,2020-09-25,15999.919921875,350.0,48.0,4.699999809265137,7.800000190734862,10859800.0,2.0,1.07183837890625,0.0,0.0,0.0,23.35,864311.0,323.3958603280103,1.967675605365612,322466.6135585272,0.2711343660947293,0.1872606350205515,0.3927413410306796
3629,J06000164,2020-09-27,4429.59423828125,150.0,46.0,3.2999999523162837,7.800000190734862,10859800.0,2.0,13.336120605468755,0.0,0.0,0.0,23.283333333333335,864311.0,323.3958603280103,1.967675605365612,322466.6135585272,0.3045885738534338,0.2122923743116987,0.4377321624761467
3630,J06000164,2020-09-28,10137.730723063163,310.0,61.0,5.199999809265137,7.800000190734862,10859800.0,2.0,18.05292320251465,0.0,0.0,0.0,24.083333333333332,864311.0,323.3958603280103,1.967675605365612,322466.6135585272,0.3213156777327861,0.2248082439572722,0.4602275731988803
3631,J06000164,2020-09-30,1424.0043945312498,200.0,48.0,3.7999999523162846,7.800000190734862,10859800.0,2.0,3.3168582916259775,0.0,0.0,0.0,23.4,864311.0,323.3958603280103,1.967675605365612,322466.6135585272,0.3547698854914907,0.2498399832484194,0.5052183946443474
3632,J06000164,2020-10-02,4613.844241672096,380.0,32.0,3.200000047683716,7.800000190734862,10859800.0,2.0,10.639674186706545,0.0,0.0,0.0,23.183333333333337,864311.0,323.3958603280103,1.967675605365612,322466.6135585272,0.3917316151189334,0.2774661752150523,0.5548984032310255
3633,J06000164,2020-10-04,2279.797607421875,71.0,11.0,1.100000023841858,7.800000190734862,10859800.0,2.0,10.549241065979004,0.0,0.0,0.0,23.416666666666668,864311.0,323.3958603280103,1.967675605365612,322466.6135585272,0.4322008666151143,0.3076868198571708,0.6092675989589142
