epoch,train_loss,test_loss
0,0.29067457850803347,0.5905429124832153
1,0.09238291367450181,0.17761565744876862
2,0.06185284010408556,0.19446328282356262
3,0.06060469734902475,0.12125156819820404
4,0.054716316544834304,0.30416208505630493
5,0.05598169417284867,0.33189329504966736
6,0.049391123776634537,0.05515523999929428
7,0.04767696767607156,0.24764776229858398
8,0.053344224789636394,0.1405748575925827
9,0.048938581619557796,0.10659564286470413
10,0.046261984087965065,0.058703698217868805
11,0.049277749743458686,0.2862742841243744
12,0.04349061814775946,0.1119861826300621
13,0.04819662096526693,0.22357459366321564
14,0.04737472600833166,0.17075179517269135
15,0.04586941886729762,0.21136616170406342
16,0.042133369245657734,0.09470602869987488
17,0.044296360501617775,0.07941725850105286
18,0.04477265670749487,0.18890951573848724
19,0.035042281856066455,0.09540152549743652
20,0.03787359676561227,0.06607313454151154
21,0.039314987073999406,0.1589050590991974
22,0.03789173051094016,0.2105417102575302
23,0.041450793042267654,0.18255923688411713
24,0.03979861959084576,0.1157236322760582
25,0.04405533358929496,0.20096726715564728
26,0.03803855125043614,0.11379324644804001
