model_type,train_mae,train_r2,train_rmse,test_mae,test_r2,test_rmse,feature_count,sample_count
STGCN_Adjacency_InfectionRates,0.02274781899056317,0.953420441265221,0.030236780129985815,0.04503466364835783,0.7531034019273769,0.06289880966181557,112,665
STGCN_Distance_InfectionRates,0.02425459081516812,0.9562522529897974,0.02930324410425748,0.045854802040258956,0.7643972815448086,0.06144336925424532,112,665
