epoch,train_loss,test_loss
0,0.39537853678213614,0.3766501843929291
1,0.08382674595158474,0.12220989167690277
2,0.0664274427382385,0.11427851021289825
3,0.07305662105699964,0.08674947172403336
4,0.06313746897321121,0.04793761670589447
5,0.06325545207615577,0.11511141061782837
6,0.06017380975661617,0.05215408653020859
7,0.056455293314202744,0.04821754992008209
8,0.057296087326226285,0.058323074132204056
9,0.0538723135056595,0.18688145279884338
10,0.052492866265204025,0.03189152479171753
11,0.05267036296244638,0.04352838173508644
12,0.05156576971286068,0.31681889295578003
13,0.05364455892613121,0.07711131870746613
14,0.05244641187692098,0.18594196438789368
15,0.04695793532529006,0.03765858709812164
16,0.044203293418475224,0.0818987488746643
17,0.04379130104629725,0.08047511428594589
18,0.04855087411809055,0.10783707350492477
19,0.051242682370631135,0.23181845247745514
20,0.04546013871646103,0.02601517364382744
21,0.048260608724519316,0.1794641613960266
22,0.04815694705272714,0.07017120718955994
23,0.05049952156111306,0.03770807757973671
24,0.04867022668979332,0.08403963595628738
25,0.04240938856759492,0.12561511993408203
26,0.04139343946806941,0.03131574019789696
27,0.047127735627559474,0.0602659247815609
28,0.04337925106907884,0.10174494236707687
29,0.04587878248489955,0.07309321314096451
30,0.04825503383671828,0.0909639224410057
31,0.041484818154690316,0.043465081602334976
32,0.04379671896059139,0.13249513506889343
33,0.04878730935902864,0.07168759405612946
34,0.0359466499466376,0.04630080610513687
35,0.03807666979949264,0.08354160189628601
36,0.04130717632634675,0.08160186558961868
37,0.036800702330747656,0.09995546191930771
38,0.042244729175067997,0.06686621159315109
39,0.038563067942638606,0.15253622829914093
40,0.044813265485287294,0.11134593188762665
