feature,importance
sars_cov2_gc_l_mean_day_minus_7,0.1302595
sars_below_lod_day_minus_7,0.05886793
sars_below_loq_day_minus_6,0.049953584
sars_below_lod_day_minus_4,0.04633902
sars_cov2_gc_l_mean_day_minus_5,0.041341674
sars_cov2_gc_l_mean_day_minus_3,0.03950724
sars_cov2_gc_l_mean_day_minus_2,0.03781819
sars_below_loq_day_minus_3,0.036280308
sars_below_loq_day_minus_5,0.03363016
sars_cov2_gc_l_mean_day_minus_4,0.024134234
catchment_population_ons_mid_2019_day_minus_7,0.022259003
sars_below_lod_day_minus_3,0.016864084
sars_cov2_gc_l_mean_day_minus_1,0.016659608
control_gc_l_mean_day_minus_6,0.015038936
control_gc_l_mean_day_minus_5,0.013278543
catchment_area_day_minus_7,0.013114257
ophosph_mg_l_day_minus_4,0.012973337
sars_cov2_gc_l_mean_day_minus_6,0.012526942
raw_ansis_sars_repc_std_day_minus_6,0.011568152
catch_in_cis_prop_day_minus_7,0.010865891
ophosph_mg_l_day_minus_7,0.010494105
sars_below_loq_day_minus_4,0.010291696
sars_below_lod_day_minus_6,0.009909842
grab_compo_boo_day_minus_7,0.009615359
raw_ansis_sars_repc_std_day_minus_3,0.009259466
ophosph_mg_l_day_minus_2,0.008850219
grab_compo_boo_day_minus_3,0.007785846
sars_below_lod_day_minus_2,0.00766796
control_gc_l_mean_day_minus_7,0.00751951
suspended_solids_mg_l_day_minus_3,0.0074665495
control_gc_l_mean_day_minus_2,0.00738278
sars_below_loq_day_minus_7,0.0068436405
ophosph_mg_l_day_minus_6,0.0066129463
suspended_solids_mg_l_day_minus_5,0.0065565663
raw_ansis_sars_repc_std_day_minus_5,0.0063416646
sars_below_loq_day_minus_2,0.0062082144
catch_in_cis_prop_day_minus_5,0.0061543477
catchment_population_ons_mid_2019_day_minus_5,0.006112129
ammonia_mg_l_day_minus_4,0.006109501
raw_ansis_sars_repc_std_day_minus_4,0.006101456
ammonia_mg_l_day_minus_5,0.005619476
ophosph_mg_l_day_minus_5,0.005548794
raw_ansis_sars_repc_std_day_minus_7,0.005477741
sample_ph_pre_ansis_day_minus_4,0.005466222
catchment_population_ons_mid_2019_day_minus_3,0.0054604975
sars_below_lod_day_minus_1,0.005441863
sars_below_lod_day_minus_5,0.00510984
suspended_solids_mg_l_day_minus_6,0.0049874713
catchment_area_day_minus_2,0.0046625356
catch_in_cis_prop_day_minus_2,0.0046439064
ammonia_mg_l_day_minus_6,0.0046430063
ammonia_mg_l_day_minus_2,0.004629017
catch_in_cis_prop_day_minus_4,0.004570806
suspended_solids_mg_l_day_minus_1,0.0045206943
raw_ansis_sars_repc_std_day_minus_2,0.0045074956
suspended_solids_mg_l_day_minus_7,0.004490327
catchment_area_day_minus_5,0.0043128664
control_gc_l_mean_day_minus_3,0.0042769862
suspended_solids_mg_l_day_minus_2,0.004226134
reception_delay_day_minus_1,0.004068197
ammonia_mg_l_day_minus_3,0.003908029
control_gc_l_mean_day_minus_4,0.0039034418
catch_cis_population_day_minus_5,0.0038952194
reception_delay_day_minus_4,0.0038579076
reception_delay_day_minus_7,0.0038391112
sample_ph_pre_ansis_day_minus_7,0.003678006
suspended_solids_mg_l_day_minus_4,0.003433051
sample_ph_pre_ansis_day_minus_5,0.0034263653
raw_ansis_sars_repc_std_day_minus_1,0.0033942536
ophosph_mg_l_day_minus_1,0.0033873462
catch_cis_population_day_minus_7,0.0033296447
reception_delay_day_minus_5,0.0033293713
grab_compo_boo_day_minus_5,0.0032900341
catchment_population_ons_mid_2019_day_minus_2,0.0032121423
catchment_area_day_minus_1,0.0030691815
reception_delay_day_minus_2,0.0030281942
catchment_area_day_minus_4,0.0029943415
reception_delay_day_minus_3,0.0029144369
catch_cis_population_day_minus_1,0.0028844103
catch_cis_population_day_minus_4,0.0028350572
ammonia_mg_l_day_minus_7,0.0028022327
catchment_area_day_minus_3,0.0026925365
catch_in_cis_prop_day_minus_6,0.0025728287
catch_cis_population_day_minus_2,0.002491123
catch_cis_population_day_minus_3,0.0024023007
ophosph_mg_l_day_minus_3,0.0023772137
sample_ph_pre_ansis_day_minus_2,0.0023127827
sample_ph_pre_ansis_day_minus_3,0.0021888777
reception_delay_day_minus_6,0.0020396411
ammonia_mg_l_day_minus_1,0.0020170535
catch_in_cis_prop_day_minus_3,0.0019178501
grab_compo_boo_day_minus_2,0.001831214
grab_compo_boo_day_minus_6,0.0017738324
control_gc_l_mean_day_minus_1,0.0017546983
catch_in_cis_prop_day_minus_1,0.0016448941
catchment_population_ons_mid_2019_day_minus_6,0.001579874
catchment_population_ons_mid_2019_day_minus_1,0.0014669899
catchment_population_ons_mid_2019_day_minus_4,0.0014038173
sars_below_loq_day_minus_1,0.0012376307
sample_ph_pre_ansis_day_minus_1,0.00020451855
grab_compo_boo_day_minus_1,0.00016441804
catch_cis_population_day_minus_6,0.00016165662
grab_compo_boo_day_minus_4,0.000124159
sample_ph_pre_ansis_day_minus_6,0.0
catchment_area_day_minus_6,0.0
data_available_day_minus_1,0.0
data_available_day_minus_2,0.0
data_available_day_minus_3,0.0
data_available_day_minus_4,0.0
data_available_day_minus_5,0.0
data_available_day_minus_6,0.0
data_available_day_minus_7,0.0
