epoch,train_loss,test_loss
0,0.3391648160987625,0.45182257890701294
1,0.08617257697544262,0.15391844511032104
2,0.07202152378272776,0.176856130361557
3,0.06733234445838367,0.2052755206823349
4,0.06815561111651215,0.1427190601825714
5,0.05604612703124682,0.12206535786390305
6,0.054583893029713164,0.11146925389766693
7,0.05678822469039291,0.1501675695180893
8,0.052186623215675354,0.22824367880821228
9,0.05477625376307497,0.16976787149906158
10,0.05357539326902114,0.1604611575603485
11,0.0570207356347465,0.11487902700901031
12,0.052158791024018734,0.17633523046970367
13,0.05136824838415373,0.173783078789711
14,0.04878041686891925,0.1299813687801361
15,0.05725413586433027,0.12957490980625153
16,0.05380469685712574,0.14011327922344208
17,0.05661594668658925,0.08852329105138779
18,0.05188519950481314,0.07927753031253815
19,0.04900349030161605,0.1202121376991272
20,0.049206835765610725,0.07207881659269333
21,0.04719569414452303,0.18173716962337494
22,0.04603908923180664,0.15103594958782196
23,0.04390227724341493,0.10246554762125015
24,0.050770452739123034,0.08650637418031693
25,0.04474380992206873,0.10475403070449829
26,0.05227208336559581,0.11184234917163849
27,0.04650600428017331,0.14659960567951202
28,0.04557096392975426,0.15304836630821228
29,0.048782391245385595,0.1434018611907959
30,0.046073408687815946,0.12884384393692017
31,0.043602590175235975,0.11867357045412064
32,0.044967836691249236,0.20591813325881958
33,0.04665814683882191,0.0916534885764122
34,0.041394098360529714,0.1374828815460205
35,0.04108265358224219,0.1728362739086151
36,0.03959689343202056,0.10931489616632462
37,0.038103574841265,0.07990384846925735
38,0.043895337351725676,0.1521928310394287
39,0.0419107506727325,0.12752731144428253
40,0.041243212635391484,0.08018457889556885
