epoch,adjacency_train_loss,adjacency_test_loss,distance_train_loss,distance_test_loss
0,0.29067457850803347,0.5905429124832153,0.4469866222318481,0.4042819142341614
1,0.09238291367450181,0.17761565744876862,0.08996255900345597,0.23556046187877655
2,0.06185284010408556,0.19446328282356262,0.07065169907668058,0.06301387399435043
3,0.06060469734902475,0.12125156819820404,0.06236736733904656,0.07463876903057098
4,0.054716316544834304,0.30416208505630493,0.05664883547590351,0.0992412343621254
5,0.05598169417284867,0.33189329504966736,0.06154717919508032,0.06734038889408112
6,0.049391123776634537,0.05515523999929428,0.060340765279297735,0.11060015112161636
7,0.04767696767607156,0.24764776229858398,0.04914266449928868,0.04129581153392792
8,0.053344224789636394,0.1405748575925827,0.047629897957485096,0.11361469328403473
9,0.048938581619557796,0.10659564286470413,0.05507613077540608,0.11913757026195526
10,0.046261984087965065,0.058703698217868805,0.04888560247662313,0.11612695455551147
11,0.049277749743458686,0.2862742841243744,0.04672533025344213,0.0426546186208725
12,0.04349061814775946,0.1119861826300621,0.04683814789442455,0.19810816645622253
13,0.04819662096526693,0.22357459366321564,0.04225133754787784,0.05071587860584259
14,0.04737472600833166,0.17075179517269135,0.04722902120328417,0.14194588363170624
15,0.04586941886729762,0.21136616170406342,0.04572873512356013,0.06186605989933014
16,0.042133369245657734,0.09470602869987488,0.04389371277362693,0.03256789967417717
17,0.044296360501617775,0.07941725850105286,0.046858970906731544,0.2024265080690384
18,0.04477265670749487,0.18890951573848724,0.04361997773943871,0.07975148409605026
19,0.035042281856066455,0.09540152549743652,0.04065685061847463,0.17032256722450256
20,0.03787359676561227,0.06607313454151154,0.04161740270644134,0.06087115779519081
21,0.039314987073999406,0.1589050590991974,0.05608241744887303,0.11998485028743744
22,0.03789173051094016,0.2105417102575302,0.042709265616448486,0.07146314531564713
23,0.041450793042267654,0.18255923688411713,0.04319361812782054,0.07107006758451462
24,0.03979861959084576,0.1157236322760582,0.04037246790111942,0.04604164510965347
25,0.04405533358929496,0.20096726715564728,0.04110522335395217,0.08954527229070663
26,0.03803855125043614,0.11379324644804001,0.04068513118716724,0.10497332364320755
