epoch,train_loss,test_loss,learning_rate
0,0.2020575382984152,0.3292941749095917,0.001
1,0.04912973078442555,0.29205122590065,0.001
2,0.05164551946754549,0.11570880562067032,0.001
3,0.051353887654840946,0.17356924712657928,0.001
4,0.04516428104583539,0.27306878566741943,0.001
5,0.04796261953956941,0.0777755081653595,0.001
6,0.03492709192648238,0.07396933436393738,0.001
7,0.04384101317355446,0.06583832204341888,0.001
8,0.0389656404252438,0.08650633692741394,0.001
9,0.03819610684306598,0.06546217948198318,0.001
10,0.0401542256860172,0.09178755432367325,0.001
11,0.04044379020000205,0.0987849161028862,0.001
12,0.03548987690067174,0.059127166867256165,0.001
13,0.03411840671198625,0.12248273938894272,0.001
14,0.04204035073737888,0.08862993121147156,0.001
15,0.035561643650426585,0.05930755287408829,0.001
16,0.04051708590750601,0.07479286193847656,0.001
17,0.0373337175514476,0.048222437500953674,0.001
18,0.03957219630041543,0.11764337867498398,0.001
19,0.03638854695885789,0.050510961562395096,0.001
20,0.03699327353388071,0.04626164212822914,0.001
21,0.03631532359320451,0.0557287335395813,0.001
22,0.0357398348403912,0.08362314105033875,0.001
23,0.03518009351968181,0.06363711506128311,0.001
24,0.03610795312652401,0.08243248611688614,0.001
25,0.035782386640123294,0.04258156195282936,0.001
26,0.034869540610588064,0.05303260311484337,0.001
27,0.035923273795667815,0.059252310544252396,0.001
28,0.036362506376177654,0.049747955054044724,0.001
29,0.040538958803403614,0.08930043131113052,0.001
30,0.0360452352895164,0.051830969750881195,0.001
31,0.03579863264937611,0.06012218818068504,0.001
32,0.03404312368993666,0.058689821511507034,0.001
33,0.030975137134173922,0.13084089756011963,0.001
34,0.03363960782321645,0.048802874982357025,0.001
35,0.03317528747606511,0.05305834859609604,0.001
36,0.03643364550582334,0.04856371879577637,0.0005
37,0.0320166875334347,0.05117154121398926,0.0005
38,0.028539636464533853,0.049045030027627945,0.0005
39,0.03405811938950244,0.0566626712679863,0.0005
40,0.03585594642323022,0.05477937310934067,0.0005
41,0.03377153048766594,0.04648270457983017,0.0005
42,0.028850780818246158,0.04672608897089958,0.0005
43,0.03200854755499784,0.05950296297669411,0.0005
44,0.03092432761674418,0.05080116167664528,0.0005
45,0.02937509891960551,0.04911597818136215,0.0005
