epoch,adjacency_train_loss,adjacency_test_loss,distance_train_loss,distance_test_loss
0,0.39537853678213614,0.3766501843929291,0.3391648160987625,0.45182257890701294
1,0.08382674595158474,0.12220989167690277,0.08617257697544262,0.15391844511032104
2,0.0664274427382385,0.11427851021289825,0.07202152378272776,0.176856130361557
3,0.07305662105699964,0.08674947172403336,0.06733234445838367,0.2052755206823349
4,0.06313746897321121,0.04793761670589447,0.06815561111651215,0.1427190601825714
5,0.06325545207615577,0.11511141061782837,0.05604612703124682,0.12206535786390305
6,0.06017380975661617,0.05215408653020859,0.054583893029713164,0.11146925389766693
7,0.056455293314202744,0.04821754992008209,0.05678822469039291,0.1501675695180893
8,0.057296087326226285,0.058323074132204056,0.052186623215675354,0.22824367880821228
9,0.0538723135056595,0.18688145279884338,0.05477625376307497,0.16976787149906158
10,0.052492866265204025,0.03189152479171753,0.05357539326902114,0.1604611575603485
11,0.05267036296244638,0.04352838173508644,0.0570207356347465,0.11487902700901031
12,0.05156576971286068,0.31681889295578003,0.052158791024018734,0.17633523046970367
13,0.05364455892613121,0.07711131870746613,0.05136824838415373,0.173783078789711
14,0.05244641187692098,0.18594196438789368,0.04878041686891925,0.1299813687801361
15,0.04695793532529006,0.03765858709812164,0.05725413586433027,0.12957490980625153
16,0.044203293418475224,0.0818987488746643,0.05380469685712574,0.14011327922344208
17,0.04379130104629725,0.08047511428594589,0.05661594668658925,0.08852329105138779
18,0.04855087411809055,0.10783707350492477,0.05188519950481314,0.07927753031253815
19,0.051242682370631135,0.23181845247745514,0.04900349030161605,0.1202121376991272
20,0.04546013871646103,0.02601517364382744,0.049206835765610725,0.07207881659269333
21,0.048260608724519316,0.1794641613960266,0.04719569414452303,0.18173716962337494
22,0.04815694705272714,0.07017120718955994,0.04603908923180664,0.15103594958782196
23,0.05049952156111306,0.03770807757973671,0.04390227724341493,0.10246554762125015
24,0.04867022668979332,0.08403963595628738,0.050770452739123034,0.08650637418031693
25,0.04240938856759492,0.12561511993408203,0.04474380992206873,0.10475403070449829
26,0.04139343946806941,0.03131574019789696,0.05227208336559581,0.11184234917163849
27,0.047127735627559474,0.0602659247815609,0.04650600428017331,0.14659960567951202
28,0.04337925106907884,0.10174494236707687,0.04557096392975426,0.15304836630821228
29,0.04587878248489955,0.07309321314096451,0.048782391245385595,0.1434018611907959
30,0.04825503383671828,0.0909639224410057,0.046073408687815946,0.12884384393692017
31,0.041484818154690316,0.043465081602334976,0.043602590175235975,0.11867357045412064
32,0.04379671896059139,0.13249513506889343,0.044967836691249236,0.20591813325881958
33,0.04878730935902864,0.07168759405612946,0.04665814683882191,0.0916534885764122
34,0.0359466499466376,0.04630080610513687,0.041394098360529714,0.1374828815460205
35,0.03807666979949264,0.08354160189628601,0.04108265358224219,0.1728362739086151
36,0.04130717632634675,0.08160186558961868,0.03959689343202056,0.10931489616632462
37,0.036800702330747656,0.09995546191930771,0.038103574841265,0.07990384846925735
38,0.042244729175067997,0.06686621159315109,0.043895337351725676,0.1521928310394287
39,0.038563067942638606,0.15253622829914093,0.0419107506727325,0.12752731144428253
40,0.044813265485287294,0.11134593188762665,0.041243212635391484,0.08018457889556885
