epoch,adjacency_train_loss,adjacency_test_loss,distance_train_loss,distance_test_loss
0,0.7310984250085026,1.8622547388076782,0.7159887540574167,1.3379141092300415
1,0.2617095474372892,0.8615930080413818,0.27251670348878,0.7948622107505798
2,0.1883638740754595,0.6911792159080505,0.20604158017565222,0.665701150894165
3,0.14273870455137655,0.5858503580093384,0.15032466168643213,0.5294502973556519
4,0.12779912429259105,0.5825856924057007,0.12590395472943783,0.4977347254753113
5,0.12166427302302099,0.5680850744247437,0.09657075719944402,0.6577320694923401
6,0.1103843721177648,0.5873061418533325,0.11683118807188436,0.6292059421539307
7,0.08941841421320158,0.49547725915908813,0.08942097655552275,0.43906745314598083
8,0.10480098393471803,0.478918194770813,0.0849001444876194,0.46714311838150024
9,0.09074295264687024,0.5413935780525208,0.08346653298712244,0.42866232991218567
10,0.09942375826558061,0.481207013130188,0.08043466581433427,0.3755585253238678
11,0.08766363924551829,0.46500101685523987,0.08255592509008505,0.41856828331947327
12,0.07658862791882426,0.44538193941116333,0.07725377634678986,0.3827664256095886
13,0.07901397354754747,0.5294170379638672,0.07853755057223287,0.5457670092582703
14,0.08877483554476616,0.46550995111465454,0.0829154606360723,0.3874337673187256
15,0.0821448385752007,0.46043661236763,0.0889092470866208,0.3983684778213501
16,0.08563937931595479,0.41795575618743896,0.0664316910300769,0.357368141412735
17,0.08464778985316847,0.5013737678527832,0.08800110931270848,0.38169097900390625
18,0.08921000593360148,0.40952780842781067,0.06558790129116353,0.40366220474243164
19,0.08322233003655485,0.443991482257843,0.06887787726579928,0.3189210593700409
20,0.07772836512794681,0.3646809160709381,0.06783809949296947,0.3230955898761749
21,0.06470959261059761,0.3741477131843567,0.06634186513210628,0.2988823354244232
22,0.06685168369143617,0.44025787711143494,0.07399406561664507,0.30719876289367676
23,0.06881527741457902,0.3698835074901581,0.06824997478329084,0.3743250072002411
24,0.09038673226228532,0.4741209149360657,0.06971712251577307,0.28652849793434143
25,0.0726160249106732,0.3788285255432129,0.07673623725114499,0.35826200246810913
26,0.06950888466820412,0.3739442527294159,0.06209501173055055,0.3437349796295166
27,0.06373285880202756,0.441467821598053,0.05880789962761542,0.4480343461036682
28,0.07363717550156164,0.42594173550605774,0.07152474616818569,0.26028040051460266
29,0.07441126995299961,0.37337103486061096,0.06273650370684325,0.3433017432689667
30,0.06799085757822967,0.45483678579330444,0.0702066654522045,0.36910226941108704
31,0.06603305976764828,0.33420273661613464,0.06916431485510924,0.31996309757232666
32,0.0748486611444284,0.39995285868644714,0.06405829599894144,0.43209293484687805
33,0.07913687867203764,0.34102728962898254,0.07366004488522224,0.4521559774875641
34,0.07131310291223082,0.37283897399902344,0.06331907094036247,0.2977822422981262
35,0.06771158410564941,0.4137954115867615,0.05552409368329773,0.3243527412414551
36,0.07243110113503302,0.34756454825401306,0.059865714406923336,0.19234208762645721
37,0.06364999855777212,0.3747570514678955,0.06867437879098397,0.2763342559337616
38,0.056831191366940155,0.35449451208114624,0.06681519870956738,0.3148549199104309
39,0.05916304305634078,0.27585774660110474,0.06595169420481897,0.2620566785335541
40,0.06244711484760046,0.3151876926422119,0.057998870563346384,0.2759295105934143
41,0.07001132092566467,0.31955811381340027,0.06370037649849467,0.2479180097579956
42,0.05480604457175907,0.32925066351890564,0.061019667917314696,0.2554889917373657
43,0.06074811381233089,0.33740875124931335,0.059179991246292404,0.24588802456855774
44,0.05560686899458661,0.3569656014442444,0.05376287263032852,0.193606436252594
45,0.06137710583268428,0.3807376027107239,0.04880337334950181,0.2440343201160431
46,0.06267278931815834,0.2805434465408325,0.051527097236876394,0.36468881368637085
47,0.0606616556589656,0.2765730619430542,0.05430158791040965,0.2757737338542938
48,0.06390352238553997,0.5385739803314209,0.05195036262054654,0.2624799907207489
49,0.064742332433953,0.23141585290431976,0.04958413044611613,0.21106266975402832
50,0.06261885202690667,0.45414039492607117,0.051740207307625054,0.1942223161458969
51,0.05940845955674555,0.39263924956321716,0.05283089975516001,0.25298401713371277
52,0.06846633934251525,0.3149154484272003,0.048028550019451215,0.20272313058376312
53,0.06439092624749915,0.37085187435150146,0.05145159973671623,0.23956872522830963
54,0.05153531776558535,0.3699485957622528,0.04447617076848652,0.2048948109149933
55,0.05083257728712816,0.32161185145378113,0.05218396979548475,0.22196820378303528
56,0.06460187798731175,0.2605538070201874,0.0496376911726068,0.20955665409564972
