epoch,train_loss,test_loss,learning_rate
0,0.6232857899922951,3.2016091346740723,0.001
1,0.3740217814258501,3.1016595363616943,0.001
2,0.35041018531602974,2.743239641189575,0.001
3,0.32606007626243666,2.978199005126953,0.001
4,0.29250012571905176,3.1281440258026123,0.001
5,0.2878602532779469,2.8109261989593506,0.001
6,0.2633041762838177,3.1561849117279053,0.001
7,0.26606336002256353,2.895681381225586,0.001
8,0.23843490230102166,3.1707184314727783,0.001
9,0.24152862265998243,3.3920722007751465,0.001
10,0.22654941166732825,3.07810378074646,0.001
11,0.24184175303169325,2.8488261699676514,0.001
12,0.23075241580897687,2.990898847579956,0.001
13,0.23694711602201649,2.7120883464813232,0.001
14,0.22933273806291468,2.75087833404541,0.001
15,0.2199305361684631,2.9234557151794434,0.001
16,0.2197827631059815,2.6285297870635986,0.001
17,0.21184630297562657,2.6043410301208496,0.001
18,0.195366508528298,2.724777936935425,0.001
19,0.20144661442906248,2.6756556034088135,0.001
20,0.1950568038166738,2.7605271339416504,0.001
21,0.19231791911171933,2.7739145755767822,0.001
22,0.19106491129187977,2.3743865489959717,0.001
23,0.19636291747584061,2.572917938232422,0.001
24,0.19360663142858767,2.3709747791290283,0.001
25,0.18798103899348015,2.429718494415283,0.001
26,0.17116968742772645,2.408179521560669,0.001
27,0.18534456091184243,2.5486412048339844,0.001
28,0.18520517062907124,2.4369118213653564,0.001
29,0.1666644962102759,2.2247705459594727,0.001
30,0.16607466909815283,2.329301357269287,0.001
31,0.1747577155337614,2.447611093521118,0.001
32,0.1765803884641797,2.3873720169067383,0.001
33,0.16342171734454586,2.4458131790161133,0.001
34,0.16988984320093603,2.6975433826446533,0.001
35,0.1645863669760087,2.7219808101654053,0.001
36,0.15960402100109586,2.7347981929779053,0.001
37,0.1623083506436909,2.5716428756713867,0.001
38,0.1565824256223791,2.4375345706939697,0.001
39,0.14755655445304572,2.833570718765259,0.001
40,0.1514975897529546,2.8062238693237305,0.0005
41,0.13757498898342543,2.415203809738159,0.0005
42,0.14229638187908658,2.3713207244873047,0.0005
43,0.14693600830494188,2.4774117469787598,0.0005
44,0.1503569539271149,2.3611972332000732,0.0005
45,0.12303207559036274,2.5977284908294678,0.0005
46,0.14370392496679343,2.453083038330078,0.0005
47,0.14536861396011183,2.549689531326294,0.0005
48,0.12946653329566413,2.5874969959259033,0.0005
49,0.1293602704125292,2.40256667137146,0.0005
