epoch,train_loss,test_loss
0,0.7159887540574167,1.3379141092300415
1,0.27251670348878,0.7948622107505798
2,0.20604158017565222,0.665701150894165
3,0.15032466168643213,0.5294502973556519
4,0.12590395472943783,0.4977347254753113
5,0.09657075719944402,0.6577320694923401
6,0.11683118807188436,0.6292059421539307
7,0.08942097655552275,0.43906745314598083
8,0.0849001444876194,0.46714311838150024
9,0.08346653298712244,0.42866232991218567
10,0.08043466581433427,0.3755585253238678
11,0.08255592509008505,0.41856828331947327
12,0.07725377634678986,0.3827664256095886
13,0.07853755057223287,0.5457670092582703
14,0.0829154606360723,0.3874337673187256
15,0.0889092470866208,0.3983684778213501
16,0.0664316910300769,0.357368141412735
17,0.08800110931270848,0.38169097900390625
18,0.06558790129116353,0.40366220474243164
19,0.06887787726579928,0.3189210593700409
20,0.06783809949296947,0.3230955898761749
21,0.06634186513210628,0.2988823354244232
22,0.07399406561664507,0.30719876289367676
23,0.06824997478329084,0.3743250072002411
24,0.06971712251577307,0.28652849793434143
25,0.07673623725114499,0.35826200246810913
26,0.06209501173055055,0.3437349796295166
27,0.05880789962761542,0.4480343461036682
28,0.07152474616818569,0.26028040051460266
29,0.06273650370684325,0.3433017432689667
30,0.0702066654522045,0.36910226941108704
31,0.06916431485510924,0.31996309757232666
32,0.06405829599894144,0.43209293484687805
33,0.07366004488522224,0.4521559774875641
34,0.06331907094036247,0.2977822422981262
35,0.05552409368329773,0.3243527412414551
36,0.059865714406923336,0.19234208762645721
37,0.06867437879098397,0.2763342559337616
38,0.06681519870956738,0.3148549199104309
39,0.06595169420481897,0.2620566785335541
40,0.057998870563346384,0.2759295105934143
41,0.06370037649849467,0.2479180097579956
42,0.061019667917314696,0.2554889917373657
43,0.059179991246292404,0.24588802456855774
44,0.05376287263032852,0.193606436252594
45,0.04880337334950181,0.2440343201160431
46,0.051527097236876394,0.36468881368637085
47,0.05430158791040965,0.2757737338542938
48,0.05195036262054654,0.2624799907207489
49,0.04958413044611613,0.21106266975402832
50,0.051740207307625054,0.1942223161458969
51,0.05283089975516001,0.25298401713371277
52,0.048028550019451215,0.20272313058376312
53,0.05145159973671623,0.23956872522830963
54,0.04447617076848652,0.2048948109149933
55,0.05218396979548475,0.22196820378303528
56,0.0496376911726068,0.20955665409564972
