epoch,train_loss,test_loss
0,0.7310984250085026,1.8622547388076782
1,0.2617095474372892,0.8615930080413818
2,0.1883638740754595,0.6911792159080505
3,0.14273870455137655,0.5858503580093384
4,0.12779912429259105,0.5825856924057007
5,0.12166427302302099,0.5680850744247437
6,0.1103843721177648,0.5873061418533325
7,0.08941841421320158,0.49547725915908813
8,0.10480098393471803,0.478918194770813
9,0.09074295264687024,0.5413935780525208
10,0.09942375826558061,0.481207013130188
11,0.08766363924551829,0.46500101685523987
12,0.07658862791882426,0.44538193941116333
13,0.07901397354754747,0.5294170379638672
14,0.08877483554476616,0.46550995111465454
15,0.0821448385752007,0.46043661236763
16,0.08563937931595479,0.41795575618743896
17,0.08464778985316847,0.5013737678527832
18,0.08921000593360148,0.40952780842781067
19,0.08322233003655485,0.443991482257843
20,0.07772836512794681,0.3646809160709381
21,0.06470959261059761,0.3741477131843567
22,0.06685168369143617,0.44025787711143494
23,0.06881527741457902,0.3698835074901581
24,0.09038673226228532,0.4741209149360657
25,0.0726160249106732,0.3788285255432129
26,0.06950888466820412,0.3739442527294159
27,0.06373285880202756,0.441467821598053
28,0.07363717550156164,0.42594173550605774
29,0.07441126995299961,0.37337103486061096
30,0.06799085757822967,0.45483678579330444
31,0.06603305976764828,0.33420273661613464
32,0.0748486611444284,0.39995285868644714
33,0.07913687867203764,0.34102728962898254
34,0.07131310291223082,0.37283897399902344
35,0.06771158410564941,0.4137954115867615
36,0.07243110113503302,0.34756454825401306
37,0.06364999855777212,0.3747570514678955
38,0.056831191366940155,0.35449451208114624
39,0.05916304305634078,0.27585774660110474
40,0.06244711484760046,0.3151876926422119
41,0.07001132092566467,0.31955811381340027
42,0.05480604457175907,0.32925066351890564
43,0.06074811381233089,0.33740875124931335
44,0.05560686899458661,0.3569656014442444
45,0.06137710583268428,0.3807376027107239
46,0.06267278931815834,0.2805434465408325
47,0.0606616556589656,0.2765730619430542
48,0.06390352238553997,0.5385739803314209
49,0.064742332433953,0.23141585290431976
50,0.06261885202690667,0.45414039492607117
51,0.05940845955674555,0.39263924956321716
52,0.06846633934251525,0.3149154484272003
53,0.06439092624749915,0.37085187435150146
54,0.05153531776558535,0.3699485957622528
55,0.05083257728712816,0.32161185145378113
56,0.06460187798731175,0.2605538070201874
57,0.06521578116671127,0.23397941887378693
58,0.06207941310005445,0.2323841005563736
59,0.060036854818463326,0.24753522872924805
60,0.057904255759044024,0.2884809672832489
61,0.06005675426921716,0.2388293743133545
62,0.054316549744530054,0.22266146540641785
63,0.05355920458175972,0.2740715742111206
64,0.054953153829510305,0.22219885885715485
65,0.05071488317723075,0.2779155671596527
66,0.05067018526332343,0.210429847240448
67,0.05550955756403068,0.26577508449554443
68,0.05648963220928814,0.22556671500205994
69,0.05527997988404012,0.20156219601631165
70,0.04910639268072212,0.23282630741596222
71,0.05311458682933567,0.2029350847005844
72,0.04867359283654129,0.2726845145225525
73,0.04823171390293568,0.2143639177083969
74,0.05034238277185781,0.33195260167121887
75,0.05259164241964326,0.2561855614185333
76,0.05786332783891874,0.23022328317165375
77,0.05014122432718674,0.31134945154190063
78,0.05393133763516066,0.2288668304681778
79,0.04714817183968775,0.2115013152360916
80,0.04610822525094537,0.3243362009525299
81,0.0503522757002536,0.26488426327705383
82,0.040177442571696115,0.2998112440109253
83,0.05107989684477741,0.2713897228240967
84,0.044039785834577155,0.22690261900424957
85,0.04556789977804703,0.2506069242954254
86,0.04748384513910495,0.2246069461107254
87,0.045663705460873304,0.20288698375225067
88,0.05547843698193045,0.2174774557352066
89,0.05151252174640403,0.21444091200828552
